Player_Id,Player_Name,DOB,Batting_Id,Bowling_Id,Country_Id
67,PP Chawla,24-12-1988,1,10,1
68,WA Mota,20-09-1981,2,1,1
69,Kamran Akmal,13-01-1982,2,,6
70,Shahid Afridi,01-03-1980,2,4,6
71,DJ Bravo,07-10-1983,2,5,8
72,MA Khote,22-04-1980,2,1,1
73,A Nehra,29-04-1979,2,9,1
74,GC Smith,01-02-1981,1,2,2
75,Pankaj Singh,06-05-1985,2,5,1
76,RR Sarwan,23-06-1980,2,10,8
77,S Sreesanth,06-02-1983,2,3,1
78,VRV Singh,17-09-1984,2,5,1
79,SS Tiwary,30-12-1989,1,,1
80,DS Kulkarni,10-12-1988,2,1,1
81,R Vinay Kumar,12-02-1984,2,1,1
82,AB Agarkar,04-12-1977,2,11,1
83,M Kartik,11-09-1976,1,7,1
84,I Sharma,02-09-1988,2,3,1
85,AM Rahane,06-06-1988,2,1,1
86,Shoaib Malik,01-02-1982,2,2,6
87,MK Tiwary,14-11-1985,2,4,1
88,KD Karthik,01-06-1985,2,,1
89,R Bhatia,22-10-1979,2,5,1
90,MF Maharoof,07-09-1984,2,3,1
91,VY Mahesh,21-12-1987,2,5,1
92,TM Srivastava,07-11-1989,1,1,1
93,B Chipli,27-01-1983,2,1,1
94,DW Steyn,27-06-1983,2,11,2
95,DB Das,22-09-1986,2,4,1
96,MK Pandey,10-09-1989,2,1,1
97,HH Gibbs,23-02-1974,2,12,2
98,DNT Zoysa,13-05-1978,1,6,7
99,D Kalyankrishna,16-12-1983,2,5,1
100,SE Marsh,09-07-1983,1,7,5
101,SA Asnodkar,29-03-1984,2,2,1
102,Sohail Tanvir,12-12-1984,1,9,6
103,Salman Butt,07-10-1984,1,2,6
104,BJ Hodge,29-12-1974,2,2,5
105,Umar Gul,14-04-1984,2,3,6
106,AB Dinda,25-03-1984,2,5,1
107,SP Fleming,01-04-1973,1,,4
108,S Vidyut,03-12-1981,1,7,1
109,JA Morkel,10-06-1981,1,5,2
110,AB de Villiers,17-02-1984,2,1,2
111,LPC Silva,14-12-1979,2,10,7
112,DB Ravi Teja,05-09-1987,2,4,1
113,Misbah-ul-Haq,28-05-1974,2,10,6
114,YV Takawale,05-11-1984,2,,1
115,RR Raje,03-09-1986,2,3,1
116,PJ Sangwan,05-11-1990,2,13,1
117,Mohammad Asif,20-12-1982,1,3,6
118,GD McGrath,09-02-1970,2,3,5
119,Joginder Sharma,23-10-1983,2,3,1
120,MS Gony,04-01-1984,2,1,1
121,M Muralitharan,17-04-1972,2,2,7
122,M Ntini,06-07-1977,2,11,2
123,DT Patil,06-12-1984,2,,1
124,A Kumble,17-10-1970,2,4,1
125,S Anirudha,14-04-1987,2,,1
126,MM Patel,12-07-1983,2,5,1
127,CK Kapugedera,24-02-1987,2,1,7
128,A Chopra,19-09-1977,2,2,1
129,T Taibu,14-05-1983,2,1,9
130,J Arunkumar,18-01-1975,2,2,1
131,PP Ojha,05-09-1986,1,7,1
132,SP Goswami,18-05-1989,1,,1
133,SR Tendulkar,24-04-1973,2,2,1
134,U Kaul,02-12-1987,1,,1
135,TM Dilshan,14-10-1976,2,2,7
136,A Mishra,24-11-1982,2,10,1
137,AD Mascarenhas,30-10-1977,2,3,10
138,NK Patel,26-03-1981,1,,1
139,LA Pomersbach,28-09-1984,1,2,5
140,Iqbal Abdulla,02-12-1989,1,7,1
141,Younis Khan,29-11-1977,2,1,6
142,PM Sarvesh Kumar,26-04-1989,2,1,1
143,DP Vijaykumar,20-10-1986,2,1,1
144,Shoaib Akhtar,13-08-1975,2,11,6
145,Abdur Razzak,15-06-1982,1,7,11
146,H Das,10-12-1986,2,,1
147,DR Smith,12-04-1983,2,1,8
148,SD Chitnis,06-05-1987,2,2,1
149,CRD Fernando,19-07-1979,2,3,7
150,VS Yeligati,23-04-1985,2,2,1
151,L Balaji,27-09-1981,2,5,1
152,A Mukund,06-01-1990,1,4,1
153,RR Powar,20-05-1978,2,2,1
154,JP Duminy,14-04-1984,1,2,2
155,A Flintoff,06-12-1977,2,3,10
156,T Thushara,01-03-1981,1,6,7
157,JD Ryder,06-08-1984,1,1,4
158,KP Pietersen,27-06-1980,2,2,2
159,T Henderson,01-08-1974,2,3,2
160,Kamran Khan,10-03-1991,1,9,1
161,RS Bopara,04-05-1985,2,1,10
162,CH Gayle,21-09-1979,1,2,8
163,MC Henriques,01-02-1987,2,3,5
164,R Bishnoi,08-10-1987,2,5,1
165,FH Edwards,06-02-1982,2,11,8
166,KV Sharma,23-10-1987,1,4,1
167,PC Valthaty,07-12-1983,2,1,1
168,RJ Quiney,20-08-1982,1,1,5
169,AS Raut,03-03-1987,2,4,1
170,Yashpal Singh,27-11-1981,2,1,1
171,M Manhas,12-10-1979,2,2,1
172,AA Bilakhia,31-05-1986,2,1,1
173,AN Ghosh,19-10-1986,2,1,1
174,BAW Mendis,11-03-1985,2,2,7
175,DL Vettori,27-01-1979,1,7,4
176,MN van Wyk,20-03-1979,2,7,2
177,RE van der Merwe,31-12-1984,2,7,2
178,TL Suman,15-12-1983,2,2,1
179,Shoaib Ahmed,17-08-1990,2,3,6
180,GR Napier,06-01-1980,2,1,10
181,KP Appanna,20-12-1988,2,7,1
182,LA Carseldine,17-11-1975,1,13,5
183,NV Ojha,20-07-1983,2,,1
184,SM Harwood,01-03-1974,2,3,5
185,M Vijay,01-04-1984,2,2,1
186,SB Jakati,27-11-1980,1,7,1
187,DA Warner,27-10-1986,1,10,5
188,RJ Harris,11-10-1979,2,11,5
189,D du Preez,08-11-1981,2,3,2
190,M Morkel,06-10-1984,1,11,2
191,AD Mathews,02-06-1987,2,3,7
192,J Botha,02-05-1982,2,2,2
193,C Nanda,29-03-1979,2,10,1
194,SL Malinga,28-08-1983,2,11,7
195,Mashrafe Mortaza,05-10-1983,2,3,11
196,A Singh,21-06-1981,2,5,1
197,GJ Bailey,07-09-1982,2,1,5
198,AB McDonald,05-06-1981,2,3,5
199,Y Nagar,06-01-1990,2,2,1
200,SS Shaikh,18-01-1987,2,1,1
201,R Ashwin,17-09-1986,2,2,1
202,Mohammad Ashraful,07-07-1984,2,2,11
203,CA Pujara,25-01-1988,2,10,1
204,OA Shah,22-10-1978,2,2,10
205,Anirudh Singh,02-08-1980,1,1,1
206,Jaskaran Singh,04-09-1989,2,1,1
207,AP Tare,07-11-1987,2,,1
208,AT Rayudu,23-09-1985,2,2,1
209,R Sathish,14-01-1981,2,1,1
210,R McLaren,09-02-1983,1,5,2
211,AA Jhunjhunwala,01-12-1982,2,2,1
212,P Dogra,19-11-1984,2,10,1
213,A Uniyal,21-11-1981,1,13,1
214,MS Bisla,27-12-1984,2,,1
215,YA Abdulla,17-01-1983,1,6,1
216,EJG Morgan,10-09-1986,1,1,10
217,JM Kemp,02-10-1977,2,3,2
218,S Tyagi,17-09-1987,2,1,1
219,RS Gavaskar,20-02-1976,1,7,1
220,SE Bond,07-06-1975,2,11,4
221,KA Pollard,12-05-1987,2,5,8
222,S Ladda,10-07-1986,2,10,1
223,DP Nannes,16-05-1976,2,14,5
224,MJ Lumb,12-02-1980,1,1,10
225,DR Martyn,21-10-1971,2,1,5
226,S Narwal,16-04-1982,1,1,1
227,AB Barath,14-04-1990,2,2,1
228,Bipul Sharma,28-09-1983,1,7,1
229,FY Fazal,07-09-1985,1,1,1
230,AC Voges,04-10-1979,2,7,5
231,MD Mishra,09-02-1984,2,2,1
232,UT Yadav,25-10-1987,2,3,1
233,J Theron,24-07-1985,2,5,2
234,SJ Srivastava,22-09-1981,2,6,1
235,R Sharma,30-04-1987,2,2,1
236,Mandeep Singh,18-12-1991,2,1,1
237,KM Jadhav,26-03-1985,2,2,1
238,SW Tait,22-02-1983,2,11,5
239,KB Arun Karthik,15-02-1986,2,4,1
240,KAJ Roach,30-06-1988,2,11,8
241,PD Collingwood,26-05-1976,2,1,10
242,CK Langeveldt,17-12-1974,2,3,10
243,VS Malik,09-05-1983,2,1,1
244,A Mithun,25-10-1989,2,1,1
245,AP Dole,09-10-1987,2,5,1
246,AN Ahmed,05-11-1988,2,5,1
247,RS Sodhi,18-10-1980,2,1,1
248,DE Bollinger,24-07-1981,1,6,5
249,S Sriram,21-02-1976,1,7,1
250,B Sumanth,10-05-1988,2,5,1
251,C Madan,15-10-1982,2,,1
252,AG Paunikar,18-04-1988,2,,1
253,MR Marsh,20-10-1991,2,1,5
254,AJ Finch,17-11-1986,2,7,5
255,STR Binny,03-06-1984,2,1,1
256,Harmeet Singh,07-09-1992,1,7,1
257,IR Jaggi,27-01-1989,2,4,1
258,DT Christian,04-05-1983,2,3,5
259,RV Gomez,16-10-1985,2,1,1
260,MA Agarwal,16-02-1991,2,,1
261,AUK Pathan,17-06-1984,2,1,1
262,UBT Chand,26-03-1993,2,2,1
263,DJ Jacobs,04-11-1982,2,1,2
264,Sunny Singh,18-12-1986,2,5,1
265,NJ Rimmington,11-11-1982,2,3,5
266,AL Menaria,29-10-1990,1,7,1
267,WD Parnell,30-07-1989,1,9,2
268,JJ van der Wath,10-01-1978,2,5,2
269,R Ninan,19-11-1985,2,2,1
270,S Aravind,08-04-1984,1,9,1
271,MS Wade,26-12-1987,1,1,5
272,TD Paine,08-12-1984,2,1,5
273,SB Wagh,09-10-1988,1,9,1
274,AC Thomas,09-02-1977,2,3,10
275,JEC Franklin,07-11-1980,1,13,4
276,Shakib Al Hasan,24-03-1987,1,7,11
277,DH Yagnik,22-06-1983,1,,1
278,S Randiv,30-01-1985,2,2,7
279,BJ Haddin,23-10-1977,2,,5
280,NLTC Perera,03-04-1989,1,5,7
281,NL McCullum,01-09-1980,2,2,4
282,JE Taylor,22-06-1984,2,11,4
283,J Syed Mohammad,03-06-1983,1,7,1
284,RN ten Doeschate,30-06-1980,2,5,12
285,TR Birt,09-12-1981,1,1,5
286,AG Murtaza,01-01-1990,1,7,1
287,Harpreet Singh,11-08-1991,1,1,1
288,M Klinger,04-07-1980,2,,5
289,AC Blizzard,27-06-1984,1,13,5
290,I Malhotra,23-05-1984,2,5,1
291,L Ablish,03-12-1982,2,5,1
292,CA Ingram,03-07-1985,1,10,2
293,S Nadeem,12-08-1989,2,7,1
294,P Parameswaran,30-05-1985,2,13,1
295,CJ Ferguson,21-11-1984,2,1,5
296,VR Aaron,29-10-1989,2,11,1
297,AA Chavan,28-10-1985,1,7,1
298,ND Doshi,06-10-1978,2,7,1
299,B Kumar,05-02-1990,2,1,1
300,Y Gnaneswara Rao,25-08-1984,2,1,1
301,S Rana,18-09-1984,2,5,1
302,BA Bhatt,13-05-1990,1,7,1
303,F du Plessis,13-07-1984,2,10,2
304,RE Levi,14-01-1988,2,1,2
305,GJ Maxwell,14-10-1988,2,2,5
306,SPD Smith,02-06-1989,2,4,1
307,MN Samuels,05-02-1981,2,2,8
308,SA Yadav,14-09-1990,2,2,1
309,KK Cooper,16-02-1989,2,1,8
310,JP Faulkner,29-04-1990,2,6,5
311,HV Patel,23-11-1990,2,1,1
312,DAJ Bracewell,28-09-1990,2,3,4
313,DJ Harris,31-12-1979,2,1,5
314,Ankit Sharma,20-04-1991,1,7,1
315,SP Narine,26-05-1988,1,2,8
316,GB Hogg,06-02-1971,1,8,5
317,RR Bhatkal,01-09-1985,2,1,1
318,CJ McKay,20-02-1983,2,3,5
319,N Saini,28-10-1988,2,,1
320,DA Miller,10-06-1989,1,2,2
321,Azhar Mahmood,28-02-1975,2,3,6
322,P Negi,06-01-1993,1,7,1
323,RJ Peterson,04-08-1979,1,7,2
324,KMDN Kulasekara,22-07-1982,2,3,7
325,A Ashish Reddy,24-02-1991,2,1,1
326,V Pratap Singh,03-05-1992,2,1,1
327,BB Samantray,14-12-1988,2,,1
328,MJ Clarke,02-04-1981,2,7,5
329,Gurkeerat Singh,29-06-1990,2,2,1
330,AP Majumdar,30-04-1984,2,4,1
331,PA Reddy,11-02-1991,2,10,1
332,K Upadhyay,18-06-1986,2,1,1
333,P Awana,19-07-1986,2,1,1
334,AD Russell,29-04-1988,2,11,8
335,A Chandila,05-12-1983,2,2,1
336,CA Lynn,10-04-1990,2,7,5
337,Sunny Gupta,27-09-1988,2,2,1
338,MC Juneja,12-09-1990,2,2,1
339,KK Nair,06-12-1991,2,2,1
340,GH Vihari,13-10-1993,2,2,1
341,MDKJ Perera,17-08-1990,1,,7
342,R Shukla,28-08-1990,2,1,1
343,B Laughlin,03-10-1982,2,3,5
344,AS Rajpoot,04-12-1993,2,1,1
345,M Vohra,18-07-1993,2,1,1
346,JD Unadkat,18-10-1991,2,13,1
347,Mohammed Shami,03-09-1990,2,3,1
348,BMAJ Mendis,15-01-1983,1,10,7
349,R Rampaul,15-10-1984,1,3,8
350,CH Morris,30-04-1987,2,3,2
351,SV Samson,11-11-1994,2,,1
352,SMSM Senanayake,09-02-1985,2,2,7
353,BJ Rohrer,26-03-1981,1,,5
354,KL Rahul,18-04-1992,2,,1
355,Q de Kock,17-12-1992,1,,2
356,R Dhawan,19-02-1990,2,5,1
357,MG Johnson,02-11-1981,1,14,5
358,LJ Wright,07-03-1985,2,5,10
359,IC Pandey,15-08-1989,2,1,1
360,CM Gautam,08-03-1986,2,,1
361,X Thalaivan Sargunam,15-05-1985,2,2,1
362,DJG Sammy,20-12-1983,2,5,8
363,KW Richardson,12-02-1991,2,3,5
364,MM Sharma,18-09-1988,2,1,1
365,UA Birla,17-11-1989,2,1,1
366,Parvez Rasool,13-02-1989,2,2,1
367,Sandeep Sharma,18-05-1993,2,1,1
368,S Kaul,19-05-1990,2,1,1
369,Sachin Baby,18-12-1988,1,2,1
370,PV Tambe,08-10-1971,2,10,1
371,NM Coulter-Nile,11-10-1987,2,11,5
372,CJ Anderson,13-12-1990,1,9,4
373,NJ Maddinson,21-12-1991,1,7,5
374,AR Patel,20-01-1994,1,7,1
375,JJ Bumrah,06-12-1993,2,1,1
376,JDS Neesham,17-09-1990,1,1,4
377,TG Southee,11-12-1988,2,5,4
378,MA Starc,30-01-1990,1,14,5
379,BR Dunk,11-03-1987,1,,5
380,RR Rossouw,09-10-1989,1,2,2
381,Shivam Sharma,09-09-1993,2,2,1
382,YS Chahal,23-07-1990,2,4,1
383,LMP Simmons,25-01-1985,2,5,8
384,VH Zol,23-11-1994,1,2,1
385,BCJ Cutting,30-01-1987,2,3,5
386,Imran Tahir,27-03-1979,2,4,1
387,BE Hendricks,08-06-1990,1,6,2
388,S Gopal,04-09-1993,2,10,1
389,M de Lange,13-10-1990,2,11,2
390,R Tewatia,20-05-1993,1,10,1
391,JO Holder,05-11-1991,2,5,8
392,Karanveer Singh,08-11-1987,2,4,1
393,SS Iyer,06-12-1994,2,4,1
394,DJ Hooda,19-04-1995,2,2,1
395,Anureet Singh,02-03-1988,2,1,1
396,KS Williamson,08-08-1990,2,2,4
397,SA Abbott,29-02-1992,2,3,4
398,J Suchith,16-01-1994,1,7,1
399,RG More,02-02-1992,2,1,1
400,HH Pandya,11-10-1993,2,5,1
401,D Wiese,18-05-1985,2,5,2
402,SN Khan,27-10-1997,2,10,1
403,MJ McClenaghan,11-06-1986,1,6,4
404,DJ Muthuswami,09-03-1981,2,1,1
405,PJ Cummins,08-05-1993,2,11,5
406,SN Thakur,16-10-1991,2,1,1
407,JC Buttler,08-09-1990,2,,10
408,CR Brathwaite,18-07-1988,2,3,8
409,MP Stoinis,16-08-1989,2,1,5
410,Ishan Kishan,18-07-1998,1,,1
411,C Munro,11-03-1987,1,5,4
412,P Sahu,21-08-1985,2,4,1
413,KH Pandya,24-03-1991,1,7,1
414,AD Nath,10-05-1993,2,5,1
415,MJ Guptill,30-09-1986,2,2,4
416,KJ Abbott,18-06-1987,2,3,2
417,TM Head,29-12-1993,1,2,5
418,M Ashwin,08-09-1990,2,4,1
419,NS Naik,09-11-1994,2,,1
420,RR Pant,04-10-1997,1,,1
421,SW Billings,15-06-1991,2,,10
422,KC Cariappa,13-04-1994,2,10,1
423,PSP Handscomb,26-04-1991,2,,5
424,Swapnil Singh,22-01-1991,2,7,1
425,J Yadav,22-01-1990,2,2,1
426,UT Khawaja,18-12-1986,1,1,5
427,HM Amla,31-03-1983,2,2,2
428,F Behardien,09-10-1983,2,3,2
429,BB Sran,10-12-1992,1,13,1
430,A Zampa,31-03-1992,2,4,5
431,N Rana,27-12-1993,1,2,1
432,S Kaushik,07-09-1995,2,8,1
433,ER Dwivedi,22-07-1988,2,,1
434,CJ Jordan,04-10-1988,2,3,10
435,P Amarnath,01-06-1982,2,1,1
436,B Geeves,13-06-1982,2,3,5
437,Gagandeep Singh,03-10-1981,2,5,1
438,A Nel,15-07-1977,2,3,2
439,AM Salvi,20-10-1981,2,1,1
440,RR Bose,27-02-1979,2,3,1
441,SS Sarkar,15-12-1984,2,1,1
442,RA Shaikh,12-06-1985,1,13,1
443,C Ganapathy,10-06-1981,2,1,1
444,MB Parmar,12-04-1988,2,2,1
445,AA Kazi,29-09-1989,1,7,1
446,Anand Rajan,17-04-1987,2,1,1
447,P Prasanth,22-05-1985,1,7,1
448,SS Mundhe,27-10-1988,2,1,1
449,RW Price,12-06-1976,2,7,9
450,TP Sudhindra,24-04-1984,1,11,1
451,BW Hilfenhaus,15-03-1983,2,3,5
452,S Badree,09-03-1981,2,10,8
453,P Suyal,15-10-1989,2,13,1
454,MG Neser,29-03-1990,2,1,5
455,V Shankar,26-01-1991,2,1,1
456,K Santokie,20-12-1984,1,13,8
457,JW Hastings,04-11-1985,2,3,5
458,TA Boult,22-07-1989,2,6,4
459,GS Sandhu,14-06-1993,1,3,5
460,Mustafizur Rahman,06-09-1995,1,6,11
461,AF Milne,13-04-1992,2,11,4
462,Kuldeep Yadav,14-12-1994,1,8,1
463,T Shamsi,18-02-1990,2,8,2
464,SM Boland,11-04-1989,2,3,5
465,DL Chahar,07-08-1992,2,1,1
466,P Dharmani,27-09-1974,2,,1
467,RV Pawar,06-09-1979,1,7,1
468,KH Devdhar,14-12-1989,2,,1
469,T Mishra,22-12-1986,2,3,1
